payment_id,order_id,amount,currency,status,method,description,created_at,settled_at,fee,tax,settlement_id
pay_UMx3NXKAlyRkCE,order_XPwxUmI2rolSOd,1797.29,INR,captured,upi,Payment for INV-2026-4533,2026-08-18T01:00:32.252Z,2026-08-18T01:00:32.252Z,35.95,6.47,setl_RAJ78eoqBKHyJL
pay_Nwtxv9OcwrNzG7,order_oaPktxfkydZ0Fv,4658.69,INR,captured,card,Payment for INV-2026-6085,2026-08-04T00:27:45.414Z,2026-08-04T00:27:45.414Z,93.17,16.77,setl_RDX3l3NY36XMVk
pay_EtC7FwissrYVQa,order_0H506XJcLJ8nlj,4131.75,INR,captured,card,Payment for INV-2026-9625,2026-08-02T00:48:33.775Z,2026-08-02T00:48:33.775Z,82.64,14.88,setl_B7ATSgOYVWGRVk
pay_J0FWUppLxzLUzU,order_MiAHsCzteWsESX,1488.79,INR,captured,card,Payment for INV-2026-7561,2026-07-25T03:31:07.278Z,2026-07-25T03:31:07.278Z,29.78,5.36,setl_5uSVtN4cDjGOIw
pay_jldu0ot7mMMH7X,order_rWczothgc53VRP,4383.49,INR,failed,upi,Payment for INV-2026-0744,2026-08-06T02:18:05.845Z,,0,0,
pay_5k9YKSMKvW0Jat,order_mdR8pXXdo5AAUB,1055.89,INR,captured,netbanking,Payment for INV-2026-0418,2026-08-17T10:30:55.024Z,2026-08-19T10:30:55.024Z,21.12,3.8,setl_sMSlzqdcx9HgkB
pay_9gU3kvfdDLM3kR,order_LK25mpTcXPRMMC,1222.89,INR,captured,card,Payment for INV-2026-3846,2026-08-12T10:13:50.539Z,2026-08-12T10:13:50.539Z,24.46,4.4,setl_EUAc5pfUuX1VhG
pay_9MzFt2RE29CIlP,order_vLXJK7gZWyNzsx,2572.59,INR,failed,upi,Payment for INV-2026-7278,2026-08-16T17:47:21.164Z,,0,0,
pay_Cgg4pHhd7wuNeL,order_TBK3RMS11zVYcO,1811.69,INR,captured,card,Payment for INV-2026-5536,2026-08-07T04:02:28.602Z,2026-08-07T04:02:28.602Z,36.23,6.52,setl_UCmDlDREiR7Ojc
pay_piagg109wsetoQ,order_jsOW5pNzaRmjS2,4531.25,INR,captured,upi,Payment for INV-2026-0021,2026-08-05T01:03:23.496Z,2026-08-05T01:03:23.496Z,90.63,16.31,setl_EpnAUrhFUtvkT8
pay_SCAMpY0RiIv5Df,order_P91GHBAQPKgaqi,3955.19,INR,failed,upi,Payment for INV-2026-9690,2026-07-25T18:37:18.463Z,,0,0,
pay_AU1yJjZl7i4nQQ,order_s6Ne0BLVYQft8q,1562.65,INR,captured,netbanking,Payment for INV-2026-6805,2026-07-30T19:34:52.777Z,2026-08-02T19:34:52.777Z,31.25,5.63,setl_isvW02D56O6jbQ
pay_5oRhob2xwKYopY,order_I4QlRAssb1ON16,2931.59,INR,failed,upi,Payment for INV-2026-3018,2026-08-05T07:02:24.907Z,,0,0,
pay_HsQwhVATOOG0xh,order_gJY7d0MACeKTbJ,3022.29,INR,captured,upi,Payment for INV-2026-0635,2026-08-13T04:54:05.929Z,2026-08-13T04:54:05.929Z,60.45,10.88,setl_X1o9sUXjElvuOJ
pay_9x9149KnZl2yXS,order_sLstfiNAd7LmjY,741.9,INR,captured,netbanking,Payment for INV-2026-1866,2026-08-06T14:38:38.673Z,2026-08-09T14:38:38.673Z,14.84,2.67,setl_ru9IdjTTxZoaR6
pay_88zc5ZZtwMqoyo,order_OBNB7xVN9Kr8O4,3679.79,INR,captured,upi,Payment for INV-2026-8072,2026-07-27T17:15:17.048Z,2026-07-27T17:15:17.048Z,73.6,13.25,setl_Vlc6iMBYVmrVli
pay_2bSp3FQrenWFTV,order_JxZ61ic4kH9npl,973.39,INR,captured,netbanking,Payment for INV-2026-9293,2026-08-07T21:48:53.178Z,2026-08-08T21:48:53.178Z,19.47,3.5,setl_AHEJslrkSwM5up
pay_PHuaSe6Stt2LGm,order_CjVNdQgTTzq4Ms,1566.8,INR,captured,netbanking,Payment for INV-2026-0529,2026-08-02T06:58:02.321Z,2026-08-05T06:58:02.321Z,31.34,5.64,setl_asKjFQ7oKuXwL4
pay_fP91ieWsiCMvIl,order_V8tZmQhfhtS2BF,990.25,INR,captured,upi,Payment for INV-2026-0254,2026-08-12T16:49:04.954Z,2026-08-12T16:49:04.954Z,19.8,3.56,setl_oBGK2KscqTUQXT
pay_aUtrSzvymWeVwj,order_iXoAWe13nyCavW,958.89,INR,captured,upi,Payment for INV-2026-4827,2026-08-03T10:38:20.211Z,2026-08-03T10:38:20.211Z,19.18,3.45,setl_qkPjncIeNBFFRD
pay_RxpxdRhTqKdqy8,order_aHDMM9SvLbZDMi,1028.99,INR,captured,upi,Payment for INV-2026-5408,2026-08-01T20:39:08.402Z,2026-08-01T20:39:08.402Z,20.58,3.7,setl_H3FplN6vUG2e57
pay_E4b33cDwFqds1R,order_iKXlyMHRwa8V25,2081.05,INR,captured,upi,Payment for INV-2026-9449,2026-08-06T12:06:10.619Z,2026-08-06T12:06:10.619Z,41.62,7.49,setl_RfmcWXh46eymNz
pay_Nogik03rgeNZa6,order_d3UGQFbRG8FWjW,3159.69,INR,captured,card,Payment for INV-2026-8913,2026-08-14T14:32:00.945Z,2026-08-14T14:32:00.945Z,63.19,11.37,setl_foLG9DZZeflvCx
pay_n2nngdo6hopBRk,order_2uy2BomtLEzIgH,4033.09,INR,captured,card,Payment for INV-2026-1552,2026-08-17T10:17:21.642Z,2026-08-17T10:17:21.642Z,80.66,14.52,setl_NoA8BTgogZJgcg
pay_Hcd8JE2J9s8Vn8,order_oOtZrka1x6lAsS,3300.55,INR,captured,card,Payment for INV-2026-3061,2026-07-30T06:22:01.477Z,2026-07-30T06:22:01.477Z,66.01,11.88,setl_98kYl25Jz7Mrn3
pay_3kuPYgW3bpP60s,order_wzH9S1DOKXOpjy,2194.35,INR,captured,upi,Payment for INV-2026-1817,2026-08-08T00:27:05.443Z,2026-08-08T00:27:05.443Z,43.89,7.9,setl_xnQL9tQOQBGLe6
pay_2bySlCS5E0WAKa,order_Xv8WPMoAh0hXdu,1874.95,INR,captured,upi,Payment for INV-2026-2786,2026-08-01T22:35:20.232Z,2026-08-01T22:35:20.232Z,37.5,6.75,setl_lWeZ5MPAYm4uut
pay_jjjGNsxjtkhgEN,order_xqhj6HBZ1toaH3,1545.75,INR,captured,netbanking,Payment for INV-2026-9380,2026-08-03T01:20:40.738Z,2026-08-07T01:20:40.738Z,30.91,5.56,setl_lrzbDpdfio2mBw
pay_NBTjslyzUlejBP,order_sy2xZmL0ILxIDi,1913.09,INR,captured,netbanking,Payment for INV-2026-1299,2026-07-27T00:18:57.855Z,2026-07-28T00:18:57.855Z,38.26,6.89,setl_0na9EzePKCf9oD
pay_b2wNmevClmO2I7,order_FjKWazvteBIUZV,1141.59,INR,captured,upi,Payment for INV-2026-1454,2026-08-19T18:41:44.675Z,2026-08-19T18:41:44.675Z,22.83,4.11,setl_XYkBpK7HBTHpkD
